id_lista,categoria,classe,geometria,nome_geografico,lat,long,uf
162,AER,pista_ponto_pouso,Linha,Aeródromo Dom Eliseu,-4.30385,-47587,PA
163,AER,pista_ponto_pouso,Linha,Aeródromo Domingos Pignatari,-20.4586,-50.0031,SP
164,AER,pista_ponto_pouso,Linha,Aeródromo Domingos Rego,-5.07959,-42.8738,MA
165,AER,pista_ponto_pouso,Linha,Aeródromo Dona Iracema,-10.6077,-48.3487,TO
166,AER,pista_ponto_pouso,Linha,Aeródromo Doutor José Mourão,-19.1559,-45.4949,MG
167,AER,pista_ponto_pouso,Linha,Aeródromo Dracena,-21.4606,-51.6067,SP
168,AER,pista_ponto_pouso,Linha,Aeródromo Dr. Emílio Fehr,-21.9068,-47821,SP
169,AER,pista_ponto_pouso,Linha,Aeródromo Dr. Heráclito da Motta Luiz,-20.4333,-48.2254,SP
170,AER,pista_ponto_pouso,Linha,Aeródromo Dr. José de Arruda Botelho,-22.1946,-47.8619,SP
171,AER,pista_ponto_pouso,Linha,Aeródromo Eirunepé,-6.64029,-69879,AM
172,AER,pista_ponto_pouso,Linha,Aeródromo - Embraer - Unidade Gavião Peixoto,-21.7742,-48.4049,SP
173,AER,pista_ponto_pouso,Linha,Aeródromo Engenheiro Joaquim Martins,-13.3112,-40.8785,BA
174,AER,pista_ponto_pouso,Linha,Aeródromo Essência do Rio Cuiabpa,-14.4351,-55.6092,MT
175,AER,pista_ponto_pouso,Linha,Aeródromo Estância Caimam,-19.9704,-56.3116,MS
176,AER,pista_ponto_pouso,Linha,Aeródromo Estância Colorado,-20.7615,-47.8625,SP
177,AER,pista_ponto_pouso,Linha,Aeródromo Estância Esmeralda,-20.1603,-57.1581,MS
178,AER,pista_ponto_pouso,Linha,Aeródromo Estância Hércules,-25.4603,-54.5986,PR
179,AER,pista_ponto_pouso,Linha,Aeródromo Estância Itapororó,-29.4368,-56.2961,RS
180,AER,pista_ponto_pouso,Linha,Aeródromo Estância Miranda,-21.9124,-57.1436,MS
181,AER,pista_ponto_pouso,Linha,Aeródromo Estância Miranda,-19.8954,-56.4268,MS
182,AER,pista_ponto_pouso,Linha,Aeródromo Estância Rebog,-12.8018,-50.6284,MT
183,AER,pista_ponto_pouso,Linha,Aeródromo Estância Turística de Pereira Barreto,-20.6246,-51.0809,SP
184,AER,pista_ponto_pouso,Linha,Aeródromo Estirão do Equador,-4.52477,-71.5619,AM
185,AER,pista_ponto_pouso,Linha,Aeródromo Estrela Dalva,-20.6754,-56.6292,MS
186,AER,pista_ponto_pouso,Linha,Aeródromo Evanderto Almeida,-6.98901,-39.8444,CE
187,AER,pista_ponto_pouso,Linha,Aeródromo Everaldo Moraes Barreto,-21.6962,-51.0972,SP
188,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda 20 de Maio,-21.8088,-49.9716,SP
189,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Acalanto,-12.9591,-45.9729,BA
190,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Acará,-15.0757,-51.1573,GO
191,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Acaraja,-23.0025,-54.7005,MS
192,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Adriana,-16.8328,-53.8342,MT
193,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agrocentro,-15.6859,-52.2674,MT
