CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,Lat_d,Long_d,
31,MINAS GERAIS,MG,3109600,Cachoeira da Prata,798,1,3109600007981,COMUNIDADE QUILOMBOLA,BEIRA CÓRREGO,,,,,,-19.5205,-44.4606,
31,MINAS GERAIS,MG,3126406,Fortuna de Minas,799,1,3126406007991,COMUNIDADE QUILOMBOLA,BEIRA CÓRREGO,,,,,01420.102026/2019-21,-19.4835,-44.5466,
31,MINAS GERAIS,MG,3141801,Minas Novas,801,2,3141801008012,COMUNIDADE QUILOMBOLA,BEIRA DO FANADO,,,,,,-17.1653,-42.6264,
31,MINAS GERAIS,MG,3141801,Minas Novas,801,1,3141801008011,COMUNIDADE QUILOMBOLA,BEIRA DO FANADO,,,,,01420.006609/2014-18,-17.1448,-42.6318,
31,MINAS GERAIS,MG,3141801,Minas Novas,801,3,3141801008013,COMUNIDADE QUILOMBOLA,BEIRA DO FANADO,,,,,01420.006609/2014-18,-17.1054,-42.6349,
31,MINAS GERAIS,MG,3106507,Berilo,806,1,3106507008061,COMUNIDADE QUILOMBOLA,BEIRA RIO,,,,,01420.100984/2021-82,-16.9504,-42.4634,
31,MINAS GERAIS,MG,3171600,Virgem da Lapa,817,1,3171600008171,COMUNIDADE QUILOMBOLA,BELA VISTA,,,,,01420.100264/2019-01,-16.7081,-42.4527,
31,MINAS GERAIS,MG,3167608,Simonésia,823,1,3167608008231,COMUNIDADE QUILOMBOLA,BELIZARIOS,,,,,,-20.0288,-42.0652,
31,MINAS GERAIS,MG,3112307,Capelinha,832,1,3112307008321,COMUNIDADE QUILOMBOLA,BEM POSTA,,,,,,-17.6841,-42.5255,
31,MINAS GERAIS,MG,3141801,Minas Novas,834,1,3141801008341,COMUNIDADE QUILOMBOLA,BEM POSTA,7,COMUNIDADE QUILOMBOLA BEM POSTA,,,01420.008279/2014-03,-17.4817,-42.5182,
31,MINAS GERAIS,MG,3135100,Janaúba,835,1,3135100008351,COMUNIDADE QUILOMBOLA,BEM VIVER DE VILA NOVA DAS POÇÕES,12,COMUNIDADE QUILOMBOLA BEM VIVER DE VILA NOVA DAS POÇÕES,,,01420.001448/2008-28,-15.6440,-43.3042,
31,MINAS GERAIS,MG,3135100,Janaúba,835,3,3135100008353,COMUNIDADE QUILOMBOLA,BEM VIVER DE VILA NOVA DAS POÇÕES,,,,,01420.001448/2008-28,-15.7845,-43.3203,
31,MINAS GERAIS,MG,3135100,Janaúba,835,2,3135100008352,COMUNIDADE QUILOMBOLA,BEM VIVER DE VILA NOVA DAS POÇÕES,26,COMUNIDADE QUILOMBOLA VILA NOVA DOS POÇÕES,,,01420.001448/2008-28,-15.5493,-43.2969,
31,MINAS GERAIS,MG,3161106,São Francisco,836,1,3161106008361,COMUNIDADE QUILOMBOLA,BENEDITO COSTA,21,COMUNIDADE QUILOMBOLA BENEDITO COSTA,,,01420.005069/2016-17,-15.9783,-44.7639,
31,MINAS GERAIS,MG,3154002,Raul Soares,844,1,3154002008441,COMUNIDADE QUILOMBOLA,BERNARDOS,5,COMUNIDADE QUILOMBOLA DOS BERNARDOS,,,01420.002408/2006-31,-19.9735,-42.2327,
31,MINAS GERAIS,MG,3123106,Dores de Guanhães,845,1,3123106008451,COMUNIDADE QUILOMBOLA,BERTO,12,COMUNIDADE QUILOMBOLA BERTO,,,01420.006064/2017-92,-18.9508,-42.9757,
31,MINAS GERAIS,MG,3167103,Serro,855,1,3167103008551,COMUNIDADE QUILOMBOLA,BICA D’ÁGUA DE CIMA,,,,,,-18.3858,-43.3627,
31,MINAS GERAIS,MG,3167103,Serro,856,1,3167103008561,COMUNIDADE QUILOMBOLA,BICA D'ÁGUA,,,,,,-18.3202,-43.3567,
31,MINAS GERAIS,MG,3171600,Virgem da Lapa,859,1,3171600008591,COMUNIDADE QUILOMBOLA,BIQUINHA,,,,,01420.003844/2017-81,-16.7758,-42.3715,
31,MINAS GERAIS,MG,3106408,Belo Vale,903,1,3106408009031,COMUNIDADE QUILOMBOLA,BOA MORTE,1,COMUNIDADE QUILOMBOLA BOA MORTE,,,01420.000135/1998-92,-20.4321,-43.9757,
31,MINAS GERAIS,MG,3135209,Januária,927,1,3135209009271,COMUNIDADE QUILOMBOLA,BOA VISTA,,,,,,-15.4582,-44.3584,
31,MINAS GERAIS,MG,3127057,Fronteira dos Vales,933,1,3127057009331,COMUNIDADE QUILOMBOLA,BOA VISTA,,,,,01420.002707/2012-14,-16.9328,-40.7449,
31,MINAS GERAIS,MG,3162401,São João da Ponte,963,1,3162401009631,COMUNIDADE QUILOMBOLA,BOA VISTINHA,30,COMUNIDADE QUILOMBOLA BOA VISTINHA,,,01420.001187/2005-01,-15.7703,-43.7490,
