CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,lat,long,,,,,,,,,,
29,BAHIA,BA,2930154,Serra do Ramalho,76,1,2930154000761,COMUNIDADE QUILOMBOLA,ÁGUA FRIA,27,COMUNIDADE QUILOMBOLA ÁGUA FRIA,,,01420.004840/2012-13,-13.6812024347716,-43.5688605324999,,,,,,,,,,
21,MARANHÃO,MA,2111706,São Vicente Ferrer,77,1,2111706000771,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-2.87969838884,-44.8082478185,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,78,1,3106507000781,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-16.9549866802,-42.4633627674,,,,,,,,,,
52,GOIÁS,GO,5208905,Goiás,79,1,5208905000791,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-15.946317361,-50.1398458337,,,,,,,,,,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,80,1,3116100000801,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-17.0484886249,-42.450486844,,,,,,,,,,
31,MINAS GERAIS,MG,3160207,Santo Antônio do Itambé,81,1,3160207000811,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-18.4912928469,-43.1902790245,,,,,,,,,,
31,MINAS GERAIS,MG,3135100,Janaúba,82,1,3135100000821,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-15.801276736,-43.3473561525,,,,,,,,,,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,83,2,3146206000832,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,01420.001095/2007-85,-17.9994887637,-41.2629915321,,,,,,,,,,
52,GOIÁS,GO,5207535,Faina,84,1,5207535000841,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,01420.013039/2016-84,-15.5798269699529,-50.178063000386,,,,,,,,,,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,83,1,3146206000831,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,2,COMUNIDADE QUILOMBOLA ÁGUA LIMPA,,,01420.001096/2007-20,-18.0926367776,-41.3228373066,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,85,2,3106507000852,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE BAIXO,,,,,01420.002063/2006-16,-16.9576439997,-42.4609174701,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,85,1,3106507000851,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE BAIXO,13,COMUNIDADE QUILOMBOLA ÁGUA LIMPA DE BAIXO,,,01420.002063/2006-16,-16.9862876325755,-42.463411048,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,86,1,3106507000861,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE CIMA,14,COMUNIDADE QUILOMBOLA ÁGUA LIMPA DE CIMA,,,01420.002045/2006-34,-17.0248150138,-42.4590782356,,,,,,,,,,
41,PARANÁ,PR,4107009,Curiúva,87,1,4107009000871,COMUNIDADE QUILOMBOLA,ÁGUA MORNA,,,160,ÁGUA MORNA,01420.001716/2005-69,-24.0378439304,-50.6005008586,,,,,,,,,,
29,BAHIA,BA,2919157,Lapão,88,1,2919157000881,COMUNIDADE QUILOMBOLA,ÁGUA NOVA,,,,,,-11.4564501386,-41.8122473582,,,,,,,,,,
31,MINAS GERAIS,MG,3104700,Ataléia,89,1,3104700000891,COMUNIDADE QUILOMBOLA,ÁGUA PRETA,4,COMUNIDADE QUILOMBOLA ÁGUA PRETA,,,,-18.0014714512,-41.2281222123,,,,,,,,,,
23,CEARÁ,CE,2313559,Tururu,90,1,2313559000901,COMUNIDADE QUILOMBOLA,ÁGUA PRETA,3,COMUNIDADE QUILOMBOLA ÁGUAS PRETAS,270,ÁGUA PRETA,01420.000346/2004-61,-3.61541448605,-39.394343041,,,,,,,,,,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,91,1,3146206000911,COMUNIDADE QUILOMBOLA,ÁGUA PRETA DE BAIXO,,,,,01420.002751/2005-03,-18.0641596943,-41.268049807,,,,,,,,,,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,92,1,3146206000921,COMUNIDADE QUILOMBOLA,ÁGUA PRETA DE CIMA,3,COMUNIDADE QUILOMBOLA ÁGUA PRETA DE CIMA,,,01420.001816/2006-76,-17.9812555330164,-41.269766139196,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,93,1,3106507000931,COMUNIDADE QUILOMBOLA,ÁGUA SUJA,,,,,,-16.9474080832,-42.4619792243,,,,,,,,,,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,94,1,3116100000941,COMUNIDADE QUILOMBOLA,ÁGUA SUJA,,,,,01420.101493/2022-30,-17.0391344442,-42.4922637068,,,,,,,,,,
51,MATO GROSSO,MT,5106109,Nossa Senhora do Livramento,95,1,5106109000951,COMUNIDADE QUILOMBOLA,ÁGUA VERMELHA,,,,,,-16.1587374999,-56.3580100027,,,,,,,,,,
51,MATO GROSSO,MT,5106505,Poconé,96,1,5106505000961,COMUNIDADE QUILOMBOLA,ÁGUA VERMELHA,,,,,,-16.2647194444,-56.6415838611,,,,,,,,,,
29,BAHIA,BA,2914901,Itacaré,97,1,2914901000971,COMUNIDADE QUILOMBOLA,ÁGUA VERMELHA,,,,,01420.000438/2006-11,-14.308339,-39.105002,,,,,,,,,,
31,MINAS GERAIS,MG,3135209,Januária,98,2,3135209000982,COMUNIDADE QUILOMBOLA,ÁGUA VIVA,,,,,01420.004782/2012-10,-15.3188657082,-44.2675951556,,,,,,,,,,
31,MINAS GERAIS,MG,3135209,Januária,98,1,3135209000981,COMUNIDADE QUILOMBOLA,ÁGUA VIVA,21,COMUNIDADE QUILOMBOLA ÁGUA VIVA,,,01420.004782/2012-10,-15.316755069,-44.2604409637333,,,,,,,,,,
29,BAHIA,BA,2910859,Filadélfia,99,1,2910859000991,COMUNIDADE QUILOMBOLA,AGUADA,2,COMUNIDADE QUILOMBOLA AGUADA,,,,-10.6811680039899,-40.184381291,,,,,,,,,,
29,BAHIA,BA,2910859,Filadélfia,99,2,2910859000992,COMUNIDADE QUILOMBOLA,AGUADA,,,,,01420.001318/2009-76,-10.6980822915,-40.1986577936,,,,,,,,,,
27,ALAGOAS,AL,2703304,Inhapi,100,1,2703304001001,COMUNIDADE QUILOMBOLA,AGUADINHA,,,,,01420.100570/2021-53,-9.22062354161,-37.7280079028,,,,,,,,,,
21,MARANHÃO,MA,2101301,Bacuri,101,1,2101301001011,COMUNIDADE QUILOMBOLA,ÁGUAS BELAS,49,COMUNIDADE QUILOMBOLA ÁGUAS BELAS,,,01420.101461/2020-72,-1.67522933315747,-45.124192738391,,,,,,,,,,
21,MARANHÃO,MA,2101905,Bequimão,102,1,2101905001021,COMUNIDADE QUILOMBOLA,ÁGUAS BELAS,37,COMUNIDADE QUILOMBOLA ÁGUAS BELAS,,,01420.100421/2020-11,-2.44172802771,-44.8894485959,,,,,,,,,,
29,BAHIA,BA,2930105,Senhor do Bonfim,103,1,2930105001031,COMUNIDADE QUILOMBOLA,ÁGUAS CLARAS,,,,,,-10.489044736,-40.1614548172,,,,,,,,,,
